GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OS-GARAITU,me.sebz.mondragon.pbl5.os,FaceDetectServer,168,0,10,0,48,0,11,0,6,0
OS-GARAITU,me.sebz.mondragon.pbl5.os,FaceEmbeddingServer.Task,27,0,2,0,7,0,3,0,2,0
OS-GARAITU,me.sebz.mondragon.pbl5.os,Database,12,203,2,14,4,35,2,27,0,21
OS-GARAITU,me.sebz.mondragon.pbl5.os,Glasses,34,0,0,0,9,0,4,0,4,0
OS-GARAITU,me.sebz.mondragon.pbl5.os,Person,10,23,0,0,4,8,3,4,3,4
OS-GARAITU,me.sebz.mondragon.pbl5.os,NodeRedServer,3,0,0,0,1,0,1,0,1,0
OS-GARAITU,me.sebz.mondragon.pbl5.os,RestServer,241,0,24,0,71,0,24,0,12,0
OS-GARAITU,me.sebz.mondragon.pbl5.os,FaceDetectServer.Task,14,0,0,0,4,0,1,0,1,0
OS-GARAITU,me.sebz.mondragon.pbl5.os,Main,3,1,0,0,1,1,1,1,1,1
OS-GARAITU,me.sebz.mondragon.pbl5.os,Group,122,60,7,3,21,16,12,9,8,8
OS-GARAITU,me.sebz.mondragon.pbl5.os,FaceEmbeddingServer,124,0,4,0,36,0,8,0,6,0
